wallet,n_pairs,top_pair_trades,total_pair_trades,total_pair_volume_eth,top_pair_tokens,pct_own_max,intensity_max,partners,round_trips_total,ring_appearances,ring_tokens,self_sale_eth,funder,funder_tag,avg_price_per_trade,flag_selfsale,flag_pingpong,flag_ring,flag_concentration,flag_attributed,detectors_fired,confidence,structure_type,collection_focus
0xaddb186047b8fd97d64c808f0b8df6589376f256,1,69,69,55300,1,100,69,0x0abd70eb980a55d9221e186b9b150539166fc679,34,,,,0xaa94e8ca22ec75d41927e3af4797eb8dd97605d3,,801.4492753623189,0,1,0,1,1,3,high,bilateral_mill,Meebits
0x845291611c8688e5a9ad2850536dd0f6980b6125,2,196,224,41826,4,88,49,0x26fd02908adc0df38d33c9d36f02ae5fe847362a| 0xe6f3fd8abb61ca6417d386e67e9596c3492d49a4,111,2,2,,,,186.72321428571428,0,1,1,1,0,3,high,ring_member,Loot
0xe6f3fd8abb61ca6417d386e67e9596c3492d49a4,3,115,163,29989,4,71,29,0x26fd02908adc0df38d33c9d36f02ae5fe847362a| 0x845291611c8688e5a9ad2850536dd0f6980b6125| 0xa43c01f5106ce315db2fb726028cc75b0ad1ddc7,79,2,2,,,,183.98159509202455,0,1,1,1,0,3,high,mesh_cluster,Terraforms
0xa236b5bbf42ea2b7f15dfd9704f67153201faa74,1,31,31,3901,1,100,31,0xa8a51ad712215449d125cba1dc215910df1887fc,15,,,,0x85380efdfd738075100eeca5a4870fd15af1d5ff,,125.83870967741936,0,1,0,1,1,3,high,concentrated_pair,Meebits
0xa8a51ad712215449d125cba1dc215910df1887fc,1,31,31,3901,1,100,31,0xa236b5bbf42ea2b7f15dfd9704f67153201faa74,15,,,,0x85380efdfd738075100eeca5a4870fd15af1d5ff,,125.83870967741936,0,1,0,1,1,3,high,concentrated_pair,Meebits
0x3e3a55277c0e9f2d5cd333af5eeb3785ff435a59,1,24,24,3735,1,92,24,0x6d608a93a1b86026c7f8241ee3828571ec3544fc,12,,,,0xcd00e4cb00c8c4c46cc6c1879b23f2c5b379908e,,155.625,0,1,0,1,1,3,high,concentrated_pair,Loot
0x6d608a93a1b86026c7f8241ee3828571ec3544fc,1,24,24,3735,1,100,24,0x3e3a55277c0e9f2d5cd333af5eeb3785ff435a59,12,,,,0xcd00e4cb00c8c4c46cc6c1879b23f2c5b379908e,,155.625,0,1,0,1,1,3,high,concentrated_pair,Loot
0x770f01c2bee6896a02af072737505fa2c6a39379,1,43,43,3229,1,100,43,0x7cf424acfc64bda5608de84c934c169c7e77f228,21,,,,0x70dd6bdaf87b071cc44f46e19b291cdd03ddf60f,,75.09302325581395,0,1,0,1,1,3,high,concentrated_pair,Terraforms
0x7cf424acfc64bda5608de84c934c169c7e77f228,1,43,43,3229,1,100,43,0x770f01c2bee6896a02af072737505fa2c6a39379,21,,,,0x70dd6bdaf87b071cc44f46e19b291cdd03ddf60f,,75.09302325581395,0,1,0,1,1,3,high,concentrated_pair,Terraforms
0x789655f162fe39c20c33957fe3a7c9c583e5d84f,1,23,23,2816,2,82,12,0xd91dd13c3652d798ea6b93e543103e72eef9a6b9,9,1,1,,,,122.43478260869566,0,1,1,1,0,3,high,ring_member,Meebits
0xd91dd13c3652d798ea6b93e543103e72eef9a6b9,1,23,23,2816,2,88,12,0x789655f162fe39c20c33957fe3a7c9c583e5d84f,9,1,1,,,,122.43478260869566,0,1,1,1,0,3,high,ring_member,Meebits
0x3abe35eba716e436267384c637c65fc8585c50d6,1,33,33,2012,3,70,11,0xe3dbc37f19c9496c81c6e19d656029a607193cf8,15,1,1,,,,60.96969696969697,0,1,1,1,0,3,high,ring_member,Meebits
0xe3dbc37f19c9496c81c6e19d656029a607193cf8,1,33,33,2012,3,59,11,0x3abe35eba716e436267384c637c65fc8585c50d6,15,3,2,,,,60.96969696969697,0,1,1,1,0,3,high,ring_member,Meebits
0xb00b51bf185c7da1e2b61a9d53df7bc863699274,1,25,25,1005,1,100,25,0xb00b5b48b26da7389888e01fa1eb2bbda2997d01,12,,,,0x4e1e9ef8da3e4a727beb01b26e0f9204056bd381,usem.eth,40.2,0,1,0,1,1,3,high,concentrated_pair,Terraforms
0xb00b5b48b26da7389888e01fa1eb2bbda2997d01,1,25,25,1005,1,96,25,0xb00b51bf185c7da1e2b61a9d53df7bc863699274,12,,,,0x4e1e9ef8da3e4a727beb01b26e0f9204056bd381,usem.eth,40.2,0,1,0,1,1,3,high,concentrated_pair,Terraforms
0xe18285b6ad1fe8cc73c5d2bc86ad2c1335d9f9b1,1,21,21,511,1,100,21,0xfbcb950fd13add1fe0ba95440fba0851575c617d,10,,,,0xef15f4c1a77cbbc03842fb01cec10b44e8879923,,24.333333333333332,0,1,0,1,1,3,high,concentrated_pair,Meebits
