nft_id,sales,volume_eth,min_price,max_price,distinct_txs,top_pair_a,top_pair_b,top_pair_sales,dominance_pct,pair_confidence,pair_structure,token_structure,collection,token_id
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7:19564,167,28896,24.3,274.828064,167,0x1407930f5ff83ff94532885557b334c74b3afc42,0x2edadfb25586b1e4d6623c7021e76a2fa595cdec,34,20.35928143712575,medium,mesh_cluster,mesh_inventory,Meebits,19564
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7:2000,162,84761,3.45,925.01,162,0x16033a8ebe3803056e40ccb3720f02440b2422b0,0xfd12d178ac2c1854129aaa2428164687f1d14eca,74,45.67901234567901,high,ring_member,few_pair_dominated,Meebits,2000
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7:10137,148,253302,3.5,4100,148,0x86cd4467b6baef4b0e34b9508d788483f64a4bb9,0xb6a684ce14addc0b0daad766424f3e28b49503a5,117,79.05405405405405,high,bilateral_mill,single_pair_dominated,Meebits,10137
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7:6183,148,13983,4,117,148,0x7b3892238e64fc1e5a744183e561e581ecd509da,0xd44fea8b52e6078ab26249ea3cca8af01673172b,146,98.64864864864865,medium,bilateral_mill,single_pair_dominated,Meebits,6183
0x4e1f41613c9084fdb9e34e11fae9412427480e56:2768,138,110070,295.6,1384.7,138,0x718a085f6d45a955395881bceff30ec97ffb1013,0xf6764f702650eb66b2bd7368e2fef7133a8f4f80,138,100,medium,bilateral_mill,single_pair_dominated,Terraforms,2768
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7:16938,132,458098,313,6100,132,0x18a4489a739ac9835da14e006b35d65040e53a4a,0xf1ddb5dacc5a916842aae0a6fbe59c36f97bd940,69,52.27272727272727,high,ring_member,few_pair_dominated,Meebits,16938
0x4e1f41613c9084fdb9e34e11fae9412427480e56:3083,128,70760,0.3469,915.2,128,0x16033a8ebe3803056e40ccb3720f02440b2422b0,0xfd12d178ac2c1854129aaa2428164687f1d14eca,72,56.25,high,ring_member,few_pair_dominated,Terraforms,3083
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7:3570,123,2324,3.8,39,123,0x440aae245b13201913da5da5dcd9b9d7cb3aab81,0x4f13f0df25ac816d155dabc4390906d656f902bf,117,95.1219512195122,medium,bilateral_mill,single_pair_dominated,Meebits,3570
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7:1657,119,24141,65.72038797,297,119,0x1407930f5ff83ff94532885557b334c74b3afc42,0xcaee6d433f36031b87d6e3c06395131a823314f3,23,19.327731092436974,medium,mesh_cluster,mesh_inventory,Meebits,1657
0x4e1f41613c9084fdb9e34e11fae9412427480e56:8130,111,134133,5,2884,111,0x57544b982e6f9afbefb251cc884d25707a8002f8,0x6b34ff96d47e0558fe22bd80c05fdc0133515d19,75,67.56756756756756,medium,concentrated_pair,few_pair_dominated,Terraforms,8130
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7:8475,110,21648,60.61839333,284.21,110,0x1407930f5ff83ff94532885557b334c74b3afc42,0xcaee6d433f36031b87d6e3c06395131a823314f3,20,18.181818181818183,medium,mesh_cluster,mesh_inventory,Meebits,8475
0xff9c1b15b16263c61d017ee9f65c50e4ae0113d7:744,107,11033,30,230,107,0x65e78d3587edecb999a15fbbf04f3e5b0fbdc9f2,0x84cdda3986d8584a88ac1af647b10c63097952c4,107,100,medium,bilateral_mill,single_pair_dominated,Loot,744
